"Unix time","Rel. Time","Beam Current (mA)","Counts 34","Counts 35","Current 34 (mA)","Current 35 (mA)","Time 34 (ps)","Accuracy 45 (ps)","Time 35 (ps)","Accuracy 35 (ps)"
1479329998,4402,1.024,0.036871503563786,0.984,0.036987089999382,0.987012910000618,433.343467388454,0.667214355526714,431.273952932656,0.385186875478353
1479330061,4465,1.0195,0.036813471381676,0.979,0.036929527896996,0.982570472103004,431.800486421991,0.858001023087551,430.05791450129,0.378643868773451
1479330124,4528,1.0135,0.03695772361549,0.974,0.037063521399248,0.976436478600752,431.855756840918,1.02623382698835,429.846581624872,0.423848668995617
1479330187,4591,1.009,0.03758311387255,0.969,0.03768890646003,0.97131109353997,431.081554546623,0.666747574839922,428.725961903268,0.406043452470739
1479330251,4655,1,0.036699136770413,0.96,0.036804066396633,0.963195933603367,431.901166956394,0.722726965276165,429.841195832424,0.454686649954444
1479330314,4718,0.9985,0.038590990429628,0.957,0.038706636005256,0.959793363994744,429.786885453623,0.823340105379972,427.954247537883,0.426140973547928
1479330378,4782,0.9925,0.036206738057607,0.953,0.036310388329101,0.956189611670898,428.100879403914,0.817492626684413,427.542982339134,0.405962018585878
1479330441,4845,0.9865,0.037391379255081,0.946,0.037495941949793,0.949004058050207,430.614703217117,0.764468757845388,428.076566223069,0.390279164448074
1479330505,4909,0.981,0.037151911584118,0.941,0.037262953048791,0.943737046951209,432.022448028178,0.835368326177882,428.930740798592,0.447816862588489
1479330569,4973,0.9765,0.036564872093596,0.937,0.036666551485833,0.939833448514167,430.125071152474,0.906595704184653,428.51460236524,0.326193658103837
1479330632,5036,0.9725,0.037595078668734,0.932,0.037710759661196,0.934789240338803,432.516618612638,0.868539201460126,429.473301323924,0.398962895787907
1479330696,5100,0.9655,0.035766882584454,0.927,0.035871001430851,0.92962899856915,432.827446378667,0.820255537602407,429.95265389402,0.391561341633285
1479330760,5164,0.9615,0.036546379865282,0.922,0.036643042501872,0.924856957498129,431.763118262879,0.927418824529105,429.623094773859,0.416053147874054
1479330824,5228,0.9575,0.036728211104637,0.918,0.03683307176011,0.92066692823989,431.127259988145,0.995109643835404,430.240522074172,0.35959458940424
1479330887,5291,0.9515,0.036097270248703,0.913,0.036198369565217,0.915301630434783,434.278647117381,0.886732924141313,431.72764179225,0.376490586252124
1479330951,5355,0.9465,0.036295093588078,0.90790451315634,0.03638352085272,0.91011647914728,428.955427874925,0.812177087220042,428.557376328527,0.407771688777232
1479331014,5418,0.9425,0.035588141429411,0.904,0.035685244134539,0.906814755865461,432.856905297882,0.946073825301788,429.261152228818,0.461674886655069
1479331079,5483,0.937,0.035222351689549,0.899,0.035325553824267,0.901674446175733,435.403538716301,0.742313449568643,431.342300916469,0.444998707686336
1479331143,5547,0.932,0.035602970782791,0.894,0.035704450212925,0.896295549787075,431.965892513276,0.898128687890113,430.738708564448,0.410898420250913
1479331207,5611,0.9265,0.036763974246415,0.887,0.036876338237326,0.889623661762674,433.345789401855,0.675145302758498,431.924002512631,0.440136634715326
1479331271,5675,0.9225,0.036000853624888,0.884,0.036111077476605,0.886388922523395,433.025180324307,0.870084113067077,431.479454838836,0.401103213156188
1479331335,5739,0.918,0.03414590020426,0.881,0.034248188000344,0.883751811999656,433.792536566671,0.787238582847105,431.074842850521,0.45233580228607
1479331400,5804,0.913,0.034960910980256,0.875,0.035069021229283,0.877930978770717,433.682363503493,0.783344738044858,431.085036205715,0.438311555498297
1479331464,5868,0.9075,0.035397651327096,0.869,0.035509838920331,0.871990161079669,433.413585838196,0.671422019199461,431.026939324766,0.407191675270605
1479331529,5933,0.904,0.034561548134693,0.867,0.03467418959173,0.869325810408271,431.9052622226,0.710883067702598,430.325161181159,0.439136630599777
1479331594,5998,0.8995,0.036882560332822,0.86,0.036980345370027,0.862519654629973,431.037885151966,0.907091388411464,429.788302727488,0.385151297344537
1479331658,6062,0.8945,0.034040300819943,0.858,0.034149091861684,0.860350908138316,433.165733852675,0.815108647304164,430.968184217775,0.43512973737132
1479331723,6127,0.8895,0.035666289409863,0.851,0.035765235719047,0.853734764280953,430.85628819361,0.666927690694669,430.161166788636,0.371600359979934
1479331787,6191,0.8845,0.033606007288057,0.848,0.033704745780931,0.850795254219069,433.653396818286,0.871759347408393,431.273720222976,0.329726073122292
1479331852,6256,0.881,0.035264669454865,0.843268385058606,0.035363693636936,0.845636306363063,431.656434997663,0.752146061272909,431.149550547801,0.380278359939317
1479331917,6321,0.875,0.036122257166613,0.836,0.036230307644894,0.838769692355106,433.785803842852,0.739760176429382,433.167468259583,0.440040591110203
1479331981,6385,0.871,0.034566389096409,0.834,0.034657325026947,0.836342674973053,433.645632125646,0.648526803629216,430.997510808751,0.41127428576611
1479332046,6450,0.8675,0.035015678839037,0.83,0.035120044616735,0.832379955383265,431.850956729619,0.747588378051607,429.133028508474,0.358298912838135
1479332111,6515,0.863,0.034127819821782,0.826350574399739,0.034227830360393,0.828772169639607,433.471136132582,0.578115927864327,430.102640085906,0.4490468033074
1479332176,6580,0.859,0.033259221967963,0.823,0.033366115702479,0.825633884297521,431.874077889518,0.994675980780411,430.216256772937,0.450435037307104
